trading_date,original_holding,traded_holding,model_return,spy_return
2014-06-09,XLK,TQQQ,-0.0018126066649919448,0.0010236305826798464
2014-06-10,XLK,TQQQ,0.005728041189776212,0.00010228178890292483
2014-06-11,XLK,TQQQ,-0.0015282366095292765,-0.0034765230743930564
2014-06-12,XLK,TQQQ,-0.02615487735174682,-0.007079852738436809
2014-06-13,XLK,TQQQ,0.006857137812399383,0.003048525458029694
2014-06-16,XLK,TQQQ,0.0036892103526187103,0.000824130218390895
2014-06-17,XLK,TQQQ,0.001413444025343713,0.0027793945317944324
2014-06-18,XLK,TQQQ,0.018209986361270136,0.007339694412266562
2014-06-19,XLK,TQQQ,-0.0038815995522000213,0.0011209682403992005
2014-06-20,XLK,TQQQ,0.003618865405538907,0.002020596103929906
2014-06-23,XLK,TQQQ,0.001108938728576092,-0.0003062037248452443
2014-06-24,XLK,TQQQ,-0.0027700288694282316,-0.0060241367426771
2014-06-25,XLK,TQQQ,0.018363252947838582,0.00451979916079015
2014-06-26,XLK,TQQQ,0.0027287060422083176,-0.0007158164860299188
2014-06-27,XLK,TQQQ,0.009931758958466208,0.0019443557002944978
2014-06-30,XLK,TQQQ,0.007409831314082016,-0.0005107042170111598
2014-07-01,XLK,TQQQ,0.0335647121703635,0.006693222718287872
2014-07-02,XLK,TQQQ,0.00388150084205674,0.0010150583641133082
2014-07-03,XLK,TQQQ,0.019203702582472948,0.004918122201063024
2014-07-07,XLK,TQQQ,-0.009610330709354464,-0.00348134435938674
2014-07-08,XLK,TQQQ,-0.03485698358674727,-0.0064299987291424054
2014-07-09,XLK,TQQQ,0.022622022657600827,0.004484251933299488
2014-07-10,XLK,TQQQ,-0.009444112611912026,-0.003956974424807247
2014-07-11,XLK,TQQQ,0.01737015261656416,0.001375187315356241
2014-07-14,XLK,TQQQ,0.01912661327316001,0.005035377092165394
2014-07-15,XLK,TQQQ,-0.010454286147766334,-0.0018725220877914284
2014-07-16,XLK,TQQQ,0.011328497661726056,0.003701318268731324
2014-07-17,XLK,TQQQ,-0.03989890882110636,-0.011365932126139788
2014-07-18,XLK,TQQQ,0.04732539043315831,0.010219201529761524
2014-07-21,XLK,TQQQ,-0.0036301938096900965,-0.0018714802661051744
2014-07-22,XLK,TQQQ,0.019849465588822834,0.004357964053465446
2014-07-23,XLK,TQQQ,0.018724017572700813,0.0022199921704395553
2014-07-24,XLK,TQQQ,-0.003506845523814417,5.0314674117313274e-05
2014-07-25,XLK,TQQQ,-0.012255982440449564,-0.004681564079311751
2014-07-28,XLK,TQQQ,0.0012289045204032512,0.00040462184180034555
2014-07-29,XLK,TQQQ,-0.005030835853841564,-0.004297300760370604
2014-07-30,XLK,TQQQ,0.011961820568810344,0.00015231672892457304
2014-07-31,XLK,TQQQ,-0.060930664495180364,-0.01974819511636594
2014-08-01,XLK,TQQQ,-0.01154967909472604,-0.003055551033613435
2014-08-04,XLK,TQQQ,0.02048052265710898,0.007220776050121724
2014-08-05,XLK,TQQQ,-0.02341460017599728,-0.009696244719844205
2014-08-06,XLK,TQQQ,-0.0017123175376638766,0.00031255048747302894
2014-08-07,XLK,TQQQ,-0.00963294110362689,-0.00541473684210525
