trading_date,model_return,spy_return
2003-05-16,-0.00900898630432001,-0.0025233714880598113
2003-05-19,-0.03636365948301368,-0.023400454900725953
2003-05-20,0.001886835683350796,-0.002050754865375537
2003-05-21,0.0012554616262534513,0.002054969103262305
2003-05-22,0.010658371912299902,0.009929823570357321
2003-05-23,0.0012406047998685388,0.0020305914505285294
2003-05-27,0.026022310543785787,0.017491460668543457
2003-05-28,0.00664254914849427,0.0028301534459953537
2003-05-29,0.002399460587621194,-0.0026131494176316883
2003-05-30,0.014362758325331848,0.01603436185974294
2003-06-02,-0.005309743276512013,0.004125853929551226
2003-06-03,0.008896774205226166,0.004108901203375259
2003-06-04,0.021164056761169503,0.0144245898937021
2003-06-05,0.0,0.004941486947088292
2003-06-06,-0.009786992981023257,-0.00391369175791878
2003-06-09,-0.014534883076207206,-0.010175318501850272
2003-06-10,0.014159277894719269,0.010178117048346147
2003-06-11,0.006398993576817835,0.010579375836350602
2003-06-12,0.004624273250525723,0.003090703381472437
2003-06-13,-0.021864164506083972,-0.010436368605386548
2003-06-16,0.024705886840820312,0.02109287017890593
2003-06-17,0.004592418103081641,0.0
2003-06-18,0.009714290073939758,-0.0008853429475008667
2003-06-19,-0.007357054906921512,-0.015260441630549626
2003-06-20,-0.0011402768939405838,-0.002199502189999536
2003-06-23,-0.019977190201192596,-0.010257484386748006
2003-06-24,-0.004076860484168887,0.0010160381627870585
2003-06-25,-0.009941524707693272,-0.010048699731042943
2003-06-26,0.018901340168693936,0.013021678338526854
2003-06-27,-0.007536183232846438,-0.011538455004411419
2003-06-30,-0.00292062745082311,-0.000307253814931685
2003-07-01,0.014059740797238263,0.009218493815407847
2003-07-02,0.020797262938099248,0.012584977967441846
